id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
9d6ef838-ae62-4bcd-bf81-5c2566271263,"""2026-06-29T12:56:48.458Z""",2026-06-29T12:56:48.458000,success,00000,,,,"checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 2 recycled; write=0.539 s, sync=0.005 s, total=0.579 s; sync files=5, longest=0.004 s, average=0.001 s; distance=32753 kB, estimate=50794 kB; lsn=3/63000080, redo lsn=3/63000028",{},[],postgres,0,null,[],null
df782a6e-628b-45f8-a9d7-f13b875ba263,"""2026-06-29T12:56:47.880Z""",2026-06-29T12:56:47.880000,success,00000,,,,checkpoint starting: time,{},[],postgres,0,null,[],null
ab7b7cb2-0092-4281-b4ec-dfbf8c3bd179,"""2026-06-29T12:55:09.261Z""",2026-06-29T12:55:09.261000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
d9a87c01-a15a-41cb-a806-d3ba1d08d46d,"""2026-06-29T12:55:09.247Z""",2026-06-29T12:55:09.247000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
00a38f64-f41e-49d1-8a2d-08eeae54d0b2,"""2026-06-29T12:55:09.148Z""",2026-06-29T12:55:09.148000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
698f4476-ebad-420b-9b41-a711b8365bb1,"""2026-06-29T12:55:09.091Z""",2026-06-29T12:55:09.091000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
4f3bc5e8-3cbd-449d-994c-790ef4bbd818,"""2026-06-29T12:54:58.753Z""",2026-06-29T12:54:58.753000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
93e22871-1216-41f1-ab27-3494f3b670cd,"""2026-06-29T12:54:58.665Z""",2026-06-29T12:54:58.665000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
ad9b10d0-adea-422e-9904-def59931f4dd,"""2026-06-29T12:54:58.521Z""",2026-06-29T12:54:58.521000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
0f776e6e-bdbf-41bf-a4cd-328d072cf389,"""2026-06-29T12:32:01.285Z""",2026-06-29T12:32:01.285000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
e357885d-05a5-465a-bc88-2bfb3ddd05a9,"""2026-06-29T12:32:01.284Z""",2026-06-29T12:32:01.284000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
05c6b1dd-1438-4010-af4f-76bfdc211820,"""2026-06-29T12:32:01.284Z""",2026-06-29T12:32:01.284000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
0e8aa6f7-ea13-454f-a42f-82f88b9b86d7,"""2026-06-29T12:32:01.283Z""",2026-06-29T12:32:01.283000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
cd428a38-d571-4b9c-956c-38a3c3dbb4b8,"""2026-06-29T12:32:01.281Z""",2026-06-29T12:32:01.281000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
0856ceb6-54ee-40a6-a290-b0885b6493c1,"""2026-06-29T12:32:01.280Z""",2026-06-29T12:32:01.280000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
b58b2799-95d8-4973-99a0-42b835612805,"""2026-06-29T12:32:01.280Z""",2026-06-29T12:32:01.280000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
70ca1fa3-64ac-4cc0-8357-d73f9fd5f8c4,"""2026-06-29T12:21:48.255Z""",2026-06-29T12:21:48.255000,success,00000,,,,"checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.564 s, sync=0.005 s, total=0.593 s; sync files=5, longest=0.004 s, average=0.001 s; distance=16398 kB, estimate=52799 kB; lsn=3/61003AC8, redo lsn=3/61003A70",{},[],postgres,0,null,[],null
be452c84-c40e-48d5-aa2a-f99b07249736,"""2026-06-29T12:21:47.664Z""",2026-06-29T12:21:47.664000,success,00000,,,,checkpoint starting: time,{},[],postgres,0,null,[],null
55fcf4e0-1eba-43f7-bf1f-c827a9bfbe6a,"""2026-06-29T12:21:25.857Z""",2026-06-29T12:21:25.857000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
d30fb5de-d764-4674-acf1-152edd224bb6,"""2026-06-29T12:21:25.857Z""",2026-06-29T12:21:25.857000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
e163d1e1-9b7e-4225-9f8b-c4035325ed2a,"""2026-06-29T12:21:25.857Z""",2026-06-29T12:21:25.857000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
